id,title,author,period,type,description,image
1,Gourd-shaped vase with Indian lotus decoration in wucai painted enamels,Unknown,"Ming Dynasty, Jiajing period",Porcelain,"The 'passionflower' is an exotic botanical motif derived from a hybrid design combining Indian lotus and Persian floral elements. The pattern layout features symmetrical floral motifs, clearly influenced by Islamic decorative art.",1500guo 1stpic.png
2,Blue-and-white dish with floral cartouche and bird design,Unknown,"Ming Dynasty, Wanli period",Porcelain,"The dish has a flared rim, shallow sides, a sunken center, and a ring foot. It is fully decorated in underglaze blue. In the center is a design of flowers and birds.",xinyi2.png
3,"Bowl with ""presenting the treasure"" motif in doucai painted enamels",Unknown,"Ming Dynasty, Wanli period",Porcelain,"Decorated in the typical Ming-dynasty doucai technique, this piece features bright, richly layered colors. The exterior is adorned with auspicious 'Jinbao' motifs.",xinyi3.png
4,Bowl decorated with flowers of the four seasons in yangcai painted enamels,Unknown,"Qing Dynasty, Yongzheng period",Porcelain,"The exterior is adorned with multicolored floral designs, including peonies, peony-rose, chrysanthemums, and other blossoms; both the flowers and foliage are outlined in red and black enamels.",xinyi4.png
5,Tea bowl with floral scroll on a black ground in falangcai painted enamels,Unknown,"Qing Dynasty, Qianlong period",Porcelain,"The exterior features a black ground with enamel-painted peonies, exotic lotuses, and other entwined seasonal flowers as the main motifs.",xinyi5.png
6,"Vase with figure, flower and bird decoration in yangcai painted enamels",Unknown,"Qing Dynasty, Qianlong period",Porcelain,"Polychrome decoration depicts sloping ground with light grasses, peach and willow trees with spring swallows, and a farmer with a child herding animals.",xinyi6.png
7,Underglaze-blue porcelain snuff bottle with a landscape-and-figure design,Unknown,Qing Dynasty (1900s),Porcelain,"Bottle-shaped, with a straight mouth, short neck, cylindrical body. Features a blue-and-white depiction of a man fishing beneath a pine tree before a cliff.",yuming1.png
8,Bencharong Covered Bowl (Lai Nam Thong style),Unknown,Qing Dynasty (1900s),Porcelain / Export Ware,"Porcelain covered bowl decorated in the Lai Nam Thong style of Chinese export ware made for the Thai market. Painted with enamel colours: turquoise, red and gold.",yuming2.png
9,Yellow-Ground Famille Rose Rectangular Planter with Lotus Designs,Unknown,"Late 19th Century, Qing Dynasty",Porcelain,Rectangular planter with a flat mouth. The exterior features famille rose decoration on a pale yellow ground. The four sides depict a continuous lotus pond scene.,yuming3.png
10,Flambé Glazed Apricot Medallion Vase,Unknown,"Late 19th Century, Qing Dynasty",Porcelain,Rectangular vase with symmetrical tubular handles. Covered overall in flambé glaze. The late Qing flambé glazes were predominantly red with intermingling black patches.,yuming4.png
11,Famille Rose Vase Depicting Mulan's Homecoming,Wang Dafan,Republic of China Period,Porcelain,"Painted using traditional overglaze enamels. The scene vividly depicts Mulan's triumphant return and her family's joy, derived from the 'Ballad of Mulan'.",yuming5.png
12,China-Albania Friendship Porcelain Sculpture,Unknown,Cultural Revolution Era,Porcelain Sculpture,Sculpted using traditional round carving techniques. It depicts Chinese and Albanian youths holding the 'Little Red Book' and singing praises.,yuming6.png
13,Five Storey's: Chinese Ladders 3,Felicity Aylieff,2009,Porcelain Sculpture,Monumental blue-and-white porcelain sculpture created in collaboration with Jingdezhen 'Big Ware' master potters.,yutong1.png
14,Narrative Ceramics Installation (GIRINO / IL CANTANTE...),ELICA Studio,2009,Porcelain Installation,Four-piece porcelain installation blending Italian 'istoriato' narrative ceramics with contemporary Jingdezhen exchanges.,yutong2.png
15,Nine Cranes Dancing,Ma Jun,1994,Thin-body Porcelain,Record-breaking thin-body porcelain bowl created using 'fen shui' (water separation) and semi-carving techniques.,yutong3.png
16,'March' - Porcelain - Physical NFT,Wang Wei Ping,2004 / Minted later,Porcelain + NFT,Jingdezhen porcelain vessel later minted as a Physical NFT on ArtAreas.io; connected to the digital token through an NFC chip.,yutong4.mp4
17,Weapons of Choice,FuturePunk,2020,Digital Artwork,A digital artwork rendering weapons using ceramic-like textures and reflective digital surfaces.,yutong5.png
18,Hermes,Uwe Heine Debrodt,2021,Digital GIF / NFT,Physical Raku-fired sculpture transformed into a digital animated NFT through 3D scanning.,yutong6.mp4
